DOI,来源,研究方向,论文标题,CR_学科,CR_摘要,CR_作者和机构,CR_参考文献DOI,CR_出版商
"=""10.1177/1470412920946829""",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Prismatic views: a look at the growing field of transgender art and visual culture studies,[],,[],[],
10.1093/aesthj/ayab009,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,New Objections to Cultural Appropriation in the Arts,[],Abstract Some writers have objected to cultural appropriation in the arts on the grounds that it violates cultures’ property rights. Recently a paper by Erich Matthes and another by C. Thi Nguyen and Matthew Strohl have argued that cultural appropriation does not violate property rights but that it is nevertheless often objectionable. Matthes argues that cultural appropriation contributes to the oppression of disadvantaged cultures. Nguyen and Strohl argue that it violated the intimacy of cultures. This paper argues that neither Matthes nor Nguyen and Strohl succeed in showing that cultural appropriation is often objectionable.,"[('James O Young', 'University of Victoria, Canada')]","['10.1080/10999949.2001.12098160', '10.1007/s11098-018-1224-2', '10.1007/s11098-018-1223-3', '10.1002/9780470694190']",Oxford University Press (OUP)
10.1080/00043079.2020.1711485,ART BULLETIN,1304 Fine Art; 1301 Art Theory,"Mutable, Flexible, Fluid: Papyrus Drawings for Textiles and Replication in Roman Art",[],,"[('Jaś Elsner', '')]",[],Informa UK Limited
10.1093/aesthj/ayaa033,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Let's be Liberal: An Alternative to Aesthetic Hedonism,[],"Abstract Aesthetic value empiricism claims that the aesthetic value of an object is grounded in the value of a certain kind of experience of it. The most popular version of value empiricism, and a dominant view in contemporary philosophical aesthetics more generally, is aesthetic hedonism. Hedonism restricts the grounds of aesthetic value to the pleasure enjoyed in the right kind of experience. But hedonism does not enjoy any clear advantage over a more permissive alternative version of value empiricism. This alternative is aesthetic liberalism. On this view, an object’s aesthetic value is fully grounded in any value—not just the hedonic value—of a correct and complete experience of its sensory features. To demonstrate the advantages of liberalism over hedonism, I apply both views to analyze the aesthetic value of the Spring Temple Buddha and Anselm Kiefer’s Seraphim. I detail four advantages of liberalism over hedonism, and I conclude by defending liberalism from two kinds of objection.","[('Antonia Peacocke', 'Stanford University')]","['10.1007/s11098-011-9755-9', '10.5840/jphil201811538', '10.1111/1467-9213.12026', '10.5840/jphil201110838', '10.1017/S0953820812000052', '10.1093/acprof:oso/9780198767213.003.0004', '10.1080/24740500.2017.1296403', '10.4324/9781315148496-2', '10.1086/662744', '10.1080/00048400903207104', '10.1111/j.1747-9991.2008.00199.x', '10.1111/j.1540-6245.2012.01519.x', '10.1017/CBO9781316286777']",Oxford University Press (OUP)
10.1093/aesthj/ayab022,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Kant on the Aesthetic Ideas of Beautiful Nature,[],"Abstract For Kant the definitive end of art is the expression of aesthetic ideas that are sensible counterparts of rational ideas. But there is another type of aesthetic idea: ‘Beauty (whether it be beauty of nature or of art) can in general be called the expression of aesthetic ideas: only in beautiful nature the mere reflection on a given intuition, without a concept of what the object ought to be, is sufficient for arousing and communicating the idea of which that object is considered as the expression.’ What are these aesthetic ideas? I argue that Kant is drawing on the idealist conception of art, associated with Vasari, Bellori and Winckelmann, as presenting idealized spatial forms characteristic of natural kinds. He incorporates this conception into his analysis of the beauty of nature and adds that we have non-conceptual access to it. These idealized forms he names aesthetic normal ideas of natural species.","[('Aviv Reiter', 'Hebrew University of Jerusalem , Israel')]","['10.1017/CBO9780511612671', '10.1093/actrade/9780198747116.book.1', '10.1080/00048400701571677', '10.4159/DLCL.marcus_tullius_cicero-de_inventione.1949', '10.1353/hph.2018.0025', '10.2307/2215614', '10.1007/978-90-481-9719-4_4', '10.1093/jaac/kpab016', '10.1017/9781108992565', '10.1111/j.0966-8373.2005.00229.x', '10.1111/1540_6245.jaac38.2.0167', '10.1017/CBO9780511804649', '10.1017/CBO9780511804656', '10.1017/CBO9781139028639', '10.1515/kant-2018-0002', '10.1515/9783111341965', '10.1111/1540_6245.jaac55.4.0387', '10.1017/CBO9780511487323']",Oxford University Press (OUP)
10.1093/aesthj/ayz049,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Imaginative Desires and Interactive Fiction: On Wanting to Shoot Fictional Zombies,[],"Abstract What do players of videogames mean when they say they want to shoot zombies? Surely they know that the zombies are not real, and that they cannot really shoot them, but only control a fictional character who does so. Some philosophers of fiction argue that we need the concept of imaginative desires (or ‘i-desires’) to explain situations in which people feel desires towards fictional characters or desires that motivate pretend actions. Others claim that we can explain these situations without complicating human psychology with a novel mental state. Within their debates, however, these scholars exclusively focus on non-interactive fictions and children’s games of make-believe. In this paper, I argue that our experience of immersive, interactive fictions like videogames gives us cause to reappraise the concept of imaginative desires. Moreover, I describe how i-desires are a useful conceptual tool within videogame development and can shed new light on apparently immoral in-game actions.","[('Nele Van De Mosselaer', 'University of Antwerp')]",[],Oxford University Press (OUP)
10.1162/leon_a_01959,LEONARDO,1304 Fine Art; 1301 Art Theory,"How Music AI Is Useful Engagements with Composers, Performers and Audiences",[],"Abstract Critical but often overlooked research questions in artificial intelligence applied to music involve the impact of the results for music. How and to what extent does such research contribute to the domain of music? How are the resulting models useful for music practitioners? This article describes work arising from research engaging with composers, musicians and audiences to address such questions: two websites that make their AI models accessible to a wide audience and a professionally recorded album released to expert reviewers to gauge the plausibility of AI-generated material. The authors describe the use of their models as tools for cocreation. Evaluating AI research and music models in such ways illuminates their impact on music-making.","[('Oded Ben-Tal', 'Oded Ben-Tal, Kingston University, Department of Performing Arts, Coombehurst House, KT2 7LA, U.K. Email: o.ben-tal@kingston.ac.uk. Web: www.obental.wixsite.com/main.'), ('Matthew Tobias Harris', 'Matthew Tobias Harris, Queen Mary University of London, London E1 4NS, U.K. Email: operator@tobyz.net. Web: www.tobyz.net.'), ('Bob L.T. Sturm', 'Bob L. T. Sturm, Royal Institute of Technology KTH, Tal, Musik och Hörsel (Speech, Music and Hearing), Lindstedtsvägen 24 SE-100 44 Stockholm, Sweden. Email: bobs@kth.se. Web: www.kth.se/profile/bobs.')]","['10.1162/comj.2009.33.2.48', '10.1007/s00521-018-3849-7', '10.1145/2967506', '10.1177/102986490200600203', '10.1109/MC.2003.1236474', '10.1145/3108242', '10.5920/JCMS.2017.09', '10.1016/j.ijhcs.2005.04.002', '10.3390/arts7030025', '10.1080/09298215.2016.1200631']",MIT Press - Journals
10.1093/aesthj/ayab002,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Hair Oppression and Appropriation,[],"Abstract In countries like the United States, White people benefit from appropriating Black hair culture, even while Black men and women experience race-based hair discrimination and oppression. One goal of this paper is to raise awareness of hair discrimination and oppression within the philosophical community. Another is to consider whether current theories of appropriation can account for the wrongness of this widespread phenomenon and, if so, how. We are particularly interested in the special case where one minority group appropriates from another minority group—viz. the appropriation of Black hairstyles by Non-Black Persons of Colour (NBPoC). Our paper highlights the complexity of appropriation claims between competing minority groups—both of which have been oppressed, albeit differently, by White people— due to their multi-ethnic, multicultural and, therefore, intersectional, status.","[('Andrea Mejía Chaves', 'Victoria University of Wellington'), ('Sondra Bacharach', 'Victoria University of Wellington')]","['10.1111/jaac.12681', '10.4236/jss.2014.21010', '10.5840/soctheorpract201642219', '10.1007/s11098-018-1224-2', '10.1007/s11098-018-1223-3', '10.1002/9781119118527', '10.1080/00497870903238463']",Oxford University Press (OUP)
10.1093/aesthj/ayab060,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Emotion in Fiction: State of the Art,[],"AbstractIn this paper, I review developments in discussions of fiction and emotion over the last decade concerning both the descriptive question of how to classify fiction-directed emotions and the normative question of how to evaluate those emotions. Although many advances have been made on these topics, a mistaken assumption is still common: that we must hold either that fiction-directed emotions are (empirically or normatively) the same as other emotions, or that they are different. I argue that we should reject this dichotomy.","[('Stacie Friend', '')]","['10.1111/papq.12294', '10.1093/aesthj/ayaa037', '10.1093/aesthj/ayu014', '10.1093/aesthj/ayw054', '10.4324/9781003469018-28', '10.1080/09515089.2016.1164306', '10.1093/oso/9780199656615.001.0001', '10.4324/9780203721742', '10.1111/jaac.12385', '10.1093/aesthj/ayaa010', '10.1111/j.1468-0114.2011.01407.x', '10.1093/oso/9780190096342.001.0001', '10.1093/aesthj/ayx033', '10.58519/aesthinv.v4i1.11925', '10.1093/acprof:oso/9780199756940.001.0001', '10.1093/acprof:oso/9780199647019.001.0001', '10.1111/j.1468-0017.2006.00286.x', '10.5040/9781350038950.ch-006', '10.1093/aristoteliansupp/49.1.67', '10.1017/S003181910005765X', '10.1093/aesthj/ayu004', '10.1093/aesthj/ayv041', '10.1093/acprof:oso/9780198790648.001.0001', '10.1016/j.actpsy.2016.02.003', '10.1111/jaac.12384', '10.1093/aesthj/ayr019', '10.1093/acprof:oso/9780199669639.003.0011', '10.1093/aesthj/ayz015', '10.1093/aesthj/ayw003', '10.1093/aesthj/ayz049', '10.2307/2025831', '10.1111/jaac.12606', '10.1093/aesthj/ays031']",Oxford University Press (OUP)
10.1111/jaac.12703,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,"Documentaries, Docudramas, and Perceptual Beliefs",[],,"[('ENRICO TERRONE', 'Departament de FilosofiaUniversitat de Barcelona Montalegre, 6‐8 Barcelona 08001 Spain')]","['10.1093/acprof:oso/9780198159216.003.0008', '10.2307/432116', '10.1111/1540-6245.00030', '10.1017/CBO9780511551277', '10.2307/432195', '10.2307/432117', '10.1111/1540-6245.00031', '10.5840/filmphil2016205', '10.1093/aesthj/ayl055', '10.1111/jaac.12660', '10.1017/CBO9780511674716', '10.12987/9780300159240', '10.1093/mind/106.424.619', '10.1111/j.1540-6245.2008.00295.x', '10.1007/978-90-481-3900-2', '10.1093/acprof:oso/9780199577460.001.0001', '10.1016/S0010-0277(99)00070-0', '10.1111/j.0021-8529.2005.00188.x', '10.1093/acprof:oso/9780198159216.003.0009', '10.1093/acprof:oso/9780199697908.001.0001', '10.1111/j.1540-6245.2008.00317.x', '10.4324/9780203221303', '10.1007/978-3-319-00801-1_4', '10.2307/2183933']",Oxford University Press (OUP)
10.1093/aesthj/ayac020,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Country music and the problem of authenticity,[],"AbstractIn the small but growing literature on the philosophy of country music, the question of how we ought to understand the genre’s notion of authenticity has emerged as one of the central questions. Many country music scholars argue that authenticity claims track attributions of cultural standing or artistic self-expression. However, careful attention to the history of the genre reveals that these claims are simply factually wrong. On the basis of this, we have grounds for dismissing these attributions. Here, I argue for an alternative model of authenticity in which we take claims about the relative authenticity of country music to be evidence of ‘country’ being a dual-character concept in the same way that it has been suggested of punk rock and hip-hop. Authentic country music is country music that embodies the core value commitments of the genre. These values form the basis of country artists’ and audiences’ practical identities. Part of country music’s aesthetic practice is that audiences reconnect with, reify, and revise this common practical identity through identification with artists and works that manifest these values. We should then think of authenticity discourse within country music as a kind of game within the genre’s practice of shaping and maintaining this practical identity.","[('Evan Malone', 'The University at Albany , USA')]","['10.1093/aesthj/ayz055', '10.5406/jamerfolk.127.504.0126', '10.1111/phc3.12729', '10.1080/03007760701682383', '10.1525/california/9780520280656.001.0001', '10.1016/j.cognition.2013.01.005', '10.1111/phpr.12727', '10.1080/03007769108591458', '10.1111/papq.12301', '10.1111/j.1460-2466.1999.tb02821.x', '10.1215/9780822397786-019', '10.7208/chicago/9780226111445.001.0001', '10.1215/9780822397786-014', '10.1111/phc3.12145', '10.2307/2182230', '10.1111/1540_6245.jaac52.1.0127', '10.1111/1540_6245.jaac57.2.0221', '10.1007/BF01079504']",Oxford University Press (OUP)
10.1080/00043079.2019.1638674,ART BULLETIN,1304 Fine Art; 1301 Art Theory,Converting Portraits: Repainting as Art Making in the Early Modern Hispanic World,[],,"[('Adam Jasienski', '')]",[],Informa UK Limited
10.1162/LEON_a_01925,LEONARDO,1304 Fine Art; 1301 Art Theory,Body RemiXer: Extending Bodies to Stimulate Social Connection in an Immersive Installation,[],"Body RemiXer is a mixed reality installation that connects immersants across the virtual/actual divide through emergent tactility and abstract embodiment. Using a virtual reality headset, Kinect and projections, the installation explores the potential of immersive technology to create copresent experiences that foster intercorporeal relationships between immersants wearing a headset and those using the projections. Immersants’ bodies are at the center of the installation, activated as a site for social exchange. Body RemiXer has been exhibited at an art festival and at several smaller events. The authors’ observations during these exhibits reveal Body RemiXer's capacity to disrupt social norms and stimulate new connections.","[('John Desnoyers-Stewart', 'Simon Fraser University 250 - 13450 102 Ave Surrey, BC V3T 0A3, Canada'), ('Ekaterina R. Stepanova', 'Simon Fraser University 250 - 13450 102 Ave Surrey, BC V3T 0A3, Canada'), ('Bernhard E. Riecke', 'Simon Fraser University 250 - 13450 102 Ave Surrey, BC V3T 0A3, Canada'), ('Patrick Pennefather', 'University of British Columbia 6354 Crescent Rd Vancouver, BC, V6T 1Z2 Canada')]",['10.1162/leon_a_01776'],MIT Press - Journals
10.1093/aesthj/ayz014,BRITISH JOURNAL OF AESTHETICS,0101 Philosophy; 1304 Fine Art; 1301 Art Theory,Being for Beauty: Aesthetic Agency and Value,[],,"[('Alex King', 'University at Buffalo, SUNY')]",[],Oxford University Press (OUP)
10.1111/jaac.12687,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Are Some Perfumes Works of Art?,[],,"[('CHIARA BROZZO', 'Department of PhilosophyDurham University Durham DH1 United Kingdom')]","['10.1093/bjaesthetics/34.2.114', '10.5840/monist198871212', '10.1093/chemse/25.4.487', '10.3758/BF03213109', '10.2307/2022937', '10.1111/jaac.12222', '10.1093/aesthj/ayi032', '10.1093/bjaesthetics/19.3.232', '10.2307/431990', '10.2307/431765', '10.1093/bjaesthetics/33.4.380', '10.2307/431513', '10.1093/bjaesthetics/42.4.367', '10.1093/acprof:oso/9780199591558.001.0001', '10.1093/bjaesthetics/32.2.153', '10.1038/ncomms11157', '10.1111/j.1540-594X.2007.00258.x', '10.2307/2182490', '10.2307/2183262', '10.1038/486S6a', '10.1093/bjaesthetics/30.3.266', '10.2307/427491', '10.1017/CBO9781316286777', '10.1017/S0031819100065785', '10.2307/2182722']",Oxford University Press (OUP)
10.1162/afar_a_00546,AFRICAN ARTS,1304 Fine Art; 1301 Art Theory; 1305 Design,"African Restitution in a North American Context: A Debate, A Summary, and a Challenge",[],,"[('Amanda M. Maples', '')]","['10.29311/mas.v17i2.3066', '10.1162/afar_a_00441', '10.1162/afar_a_00474', '10.1162/afar_a_00473', '10.1162/afar_a_00403', '10.1080/09528820500124479', '10.1162/afar_a_00440']",MIT Press
10.1080/09528822.2020.1834735,THIRD TEXT,1304 Fine Art; 1301 Art Theory,"Activist Aesthetics in the Post-Socialist Balkans Resistance, Rebellion, Emancipation",[],,"[('Igor Štiks', '')]",[],Informa UK Limited
10.1162/leon_a_02105,LEONARDO,1304 Fine Art; 1301 Art Theory,"A Computational Study of Empty Space Ratios in Chinese Landscape Painting, 618-2011",[],"Abstract The use of empty space (ES) is ubiquitous in Asian art. The authors use a computational method to quantitatively assess the amount of ES in Chinese landscape painting (CLP). The data show that 56.8% of ancient CLPs contain mostly ES, while only 9.4% from modern times do. ES reached its peak during the Yuan dynasty (1271–-1368) and its lowest point in the 1960s. Chan culture, literati ink play, the “exhibition hall effect,” and Maoist politics, as well as other social factors, may have had an impact on this shift. This empirical study indicates that art keeps abreast of current developments: The philosophy, culture, politics and general education of a specific era influence artists’ perception, aesthetics and creative output.","[('Guoyan Wang', 'Guoyan Wang, Department of Digital Communication, Room 5146, Building 5, Dushu Lake Campus of Soochow University, Suzhou, Jiangsu, China. Email: gywang@ustc.edu.cn.'), ('Jiafei Shen', 'Jiafei Shen, Department of Science and Technology Communication and Policy, University of Science and Technology of China, Hefei, Anhui, China. Email: jeff116@mail.ustc.edu.cn.'), ('Mengmeng Yue', 'Mengmeng Yue, Suning e-buy Group Co., Ltd., Building 2, Su-ning Zijin Jiayue, Xuanwu District, Nanjing, Jiangsu, China. Email: ymmdj@qq.com.'), ('Yena Ma', 'Yena Ma, Anhui Renhe Data Technology Co., Ltd., Guangming Beibu Gulf, Hefei, Anhui, China. Email: 1092036764@qq.com.'), ('Shuyang Wu', 'Shuyang Wu, Department of Science and Technology Communication and Policy, University of Science and Technology of China, Hefei, Anhui, China. Email: wshuyang@mail.ustc.edu.cn.')]",[],MIT Press
